NB_SCATS_SITE,LATITUDE,LONGITUDE,SITE_DESC
970,-35.81893684698825,143.47004699625649,DUMOSA-QUAMBATOOK RD EASTBOUND APPROACH 500M FROM GIVE-WAY SIGN
2000,-37.8817521026596,145.1654232399043,SPRINGVALE RD/GLEN RD/COLEMAN PDE/RAILWAY PDE NORTH
2200,-37.76088030056309,144.86143711111794,MILITARY RD 50M AFTER RIDLEY AVE
2820,-37.79112259767383,145.25557731621666,KALINDA RD BTWN WHITEHORSE RD & PLYMOUTH RD
2825,-37.90212679877905,145.14276837033637,BLACKBURN RD BTWN FERNTREE GULLY RD & WELLINGTON RD
2827,-37.999872905509825,145.52432180066205,GEMBROOK RD AT CLINK RD
2846,-37.538400834954906,145.45517863880957,HEALESVILLE-KINGLAKE RD MIDPOI NBTW OLD TOOLANGI-DIXONS CREEK RD & SPRAGGS R
3001,-37.694113195655945,144.91533476634154,PASCOE VALE RD & WESTERN RING RD RAMPS
3002,-37.83630369969409,144.94874259885907,PICKLES ST S OF DORCAS ST
3120,-37.92238768985133,145.01909970053035,DENDY ST BTWN HAMPTON ST & NEPEAN HIGHWAY
3122,-37.90823694658386,145.2015796057798,FERNTREE GULLY RD 50M OPP MARYKIRK DR
3126,-37.815436830586314,144.97666581372707,WELLINGTON PDE AT LANSDOWNE ST
3127,-37.87873705476872,145.07818898996965,WAVERLEY RD 70M AFTER ALMA ST
3180,-37.82526698223935,144.84845889765577,WEST GATE FWY 50M AFTER MILLERS RD
3662,-38.10735028711381,145.16483490030035,FRANKSTON-DANDENONG RD SBTWN HALL RD & BALLARTO RD
3682,-37.91862787519275,145.15820430206756,WELLINGTON RD W OF SPRINGVALE RD
3685,-37.815756887993054,144.96945422433117,RUSSELL ST N OF FLINDERS LA DEPARTURE
3804,-37.82695559083964,147.62687691863403,PYKE ST N OF PRINCES HWY EAST DEPARTURE
3812,-37.779382789776854,145.2198916144404,PARK RD 50M AFTER DAINTREE AVE
4030,-37.82454530120333,145.1226101805995,STATION ST N OF CANTERBURY RD
4032,-37.827451602966306,145.0647749194862,PROSPECT HILL RD & STANHOPE GROVE & TRAFALGAR RD
4034,-38.07196689834078,145.12190481512008,NEPEAN HWY & STATION ST
4035,-37.76358680098089,144.99217710857246,ST GEORGES RD N OF ARTHURTON RD DEPARTURE TURNS ONLY
4040,-37.7771692960479,145.02544042136245,GRANGE RD & WINGROVE ST
4043,-37.78038647834305,144.74342140186778,RIDING BOUNDARY RD 750 M WEST OF DEER PARK BYPASS
4051,-37.77410189773537,144.77421067551666,STATION RD N OF RAILWAY PDE DEPARTURE
4057,-37.875818579535625,145.04364210537668,PRINCES HWY/WAVERLEY RD
4063,-37.784079594273884,145.01726802387023,HEIDELBERG RD & STATION ST
4262,-38.137640788537695,145.12816396836882,DANDENONG RD 55M BEFORE EBDALE ST
4263,-38.39477222008903,144.8366700031828,BROWNS RD BTW WEEROONA ST & SPRINGS LA
4264,-38.314820570497425,144.3182062857111,SURF COAST HIGHWAY NORTH BD NORTH OF BLACKGATE ROAD
4266,-37.561195909441544,144.87678563679006,MICKELHAM RD N OF BARDWELL DR
4270,-38.67233318806951,143.12518289671894,PRINCETOWN ROAD NORTH BD NORTH OF GALLUM ROAD.
4272,-37.96072320946646,145.34450143813993,BELGR AV - HALLAM RD AT MOUNTAIN FLAT RD
4273,-38.62542187951517,143.2766124873322,GELLIBRAND RIVER ROAD NORTH BD SOUTH OF CARLISLE RIVER BRIDGE
4321,-35.76447082952266,143.97005180017635,MURRAY VALLEY HWY 202M BEFORE RAILX KERANG (EAGLEHAWK-PIANGIL) 9918
4324,-37.83018630959533,144.8384765295377,BLACKSHAWS ROAD BTW GADSDEN ST & KNAPP ST
4335,-37.60019512430573,144.95088351421694,CRAIGIEBURN RD W OF MERRI CREEK
4812,-37.681650555488105,144.60090115312917,FEDERATION DR BTW MELTON HWY & GISBORNE-MELON RD
4821,-38.104677135817255,147.06816899519978,MACARTHUR ST & PRINCES HWY EAST
