origin,destination,distance_km
2000,2825,3.014123
2000,3122,4.328814
2000,3682,4.149032
2000,4030,7.388707
2200,3001,8.808365
2200,3180,7.249726
2200,4051,7.806873
2200,4324,7.966176
2820,3812,3.396863
2825,2000,3.014123
2825,3122,5.204399
2825,3127,6.235379
2825,3682,2.280451
2825,4030,8.8063
3001,2200,8.808365
3002,3126,3.376173
3002,3180,8.892466
3002,3685,2.920447
3002,4063,8.364272
3002,4324,9.707611
3120,3127,7.102012
3120,4057,5.608165
3122,2000,4.328814
3122,2825,5.204399
3122,3682,3.9767
3126,3002,3.376173
3126,3685,0.634484
3126,4035,5.92439
3126,4040,6.039273
3126,4057,8.925563
3126,4063,4.988354
3127,2825,6.235379
3127,3120,7.102012
3127,3682,8.304652
3127,4030,7.177894
3127,4032,5.823026
3127,4057,3.04947
3180,2200,7.249726
3180,3002,8.892466
3180,4051,8.655925
3180,4324,1.033381
3662,4034,5.440161
3662,4262,4.651305
3682,2000,4.149032
3682,2825,2.280451
3682,3122,3.9767
3682,3127,8.304652
3685,3002,2.920447
3685,3126,0.634484
3685,4035,6.135074
3685,4040,6.527597
3685,4063,5.482266
3812,2820,3.396863
3812,4030,9.913161
4030,2000,7.388707
4030,2825,8.8063
4030,3127,7.177894
4030,3812,9.913161
4030,4032,5.089957
4032,3127,5.823026
4032,4030,5.089957
4032,4057,5.689231
4032,4063,6.377975
4034,3662,5.440161
4034,4262,7.323111
4035,3126,5.92439
4035,3685,6.135074
4035,4040,3.290775
4035,4063,3.171087
4040,3126,6.039273
4040,3685,6.527597
4040,4035,3.290775
4040,4063,1.051794
4043,4051,2.794793
4051,2200,7.806873
4051,3180,8.655925
4051,4043,2.794793
4051,4324,8.412628
4057,3120,5.608165
4057,3126,8.925563
4057,3127,3.04947
4057,4032,5.689231
4063,3002,8.364272
4063,3126,4.988354
4063,3685,5.482266
4063,4032,6.377975
4063,4035,3.171087
4063,4040,1.051794
4262,3662,4.651305
4262,4034,7.323111
4266,4335,7.838443
4324,2200,7.966176
4324,3002,9.707611
4324,3180,1.033381
4324,4051,8.412628
4335,4266,7.838443
