NB_SCATS_SITE,LATITUDE,LONGITUDE,SITE_DESC,SNAPPED_LATITUDE,SNAPPED_LONGITUDE
970,-35.81893684698825,143.47004699625649,DUMOSA-QUAMBATOOK RD EASTBOUND APPROACH 500M FROM GIVE-WAY SIGN,-35.81893684698825,143.47004699625649
2000,-37.8817521026596,145.1654232399043,SPRINGVALE RD/GLEN RD/COLEMAN PDE/RAILWAY PDE NORTH,-37.88089751499936,145.16540712707598
2200,-37.76088030056309,144.86143711111794,MILITARY RD 50M AFTER RIDLEY AVE,-37.76053,144.861279
2820,-37.79112259767383,145.25557731621666,KALINDA RD BTWN WHITEHORSE RD & PLYMOUTH RD,-37.79160180000001,145.2557201
2825,-37.90212679877905,145.14276837033637,BLACKBURN RD BTWN FERNTREE GULLY RD & WELLINGTON RD,-37.902668199999994,145.1427446
2827,-37.99987290550983,145.52432180066205,GEMBROOK RD AT CLINK RD,-37.9999783,145.5244255
2846,-37.538400834954906,145.45517863880957,HEALESVILLE-KINGLAKE RD MIDPOI NBTW OLD TOOLANGI-DIXONS CREEK RD & SPRAGGS R,-37.5384185,145.4563719
3001,-37.694113195655945,144.91533476634154,PASCOE VALE RD & WESTERN RING RD RAMPS,-37.693861434297794,144.91532735131577
3002,-37.83630369969409,144.94874259885907,PICKLES ST S OF DORCAS ST,-37.83589691670438,144.94884726665006
3120,-37.92238768985133,145.01909970053035,DENDY ST BTWN HAMPTON ST & NEPEAN HIGHWAY,-37.92258123660793,145.02013875376508
3122,-37.90823694658386,145.2015796057798,FERNTREE GULLY RD 50M OPP MARYKIRK DR,-37.90824178351734,145.20081083784203
3126,-37.81543683058632,144.97666581372707,WELLINGTON PDE AT LANSDOWNE ST,-37.815493276074946,144.97744120705354
3127,-37.87873705476872,145.07818898996965,WAVERLEY RD 70M AFTER ALMA ST,-37.87867775010667,145.07837340007683
3180,-37.82526698223935,144.84845889765575,WEST GATE FWY 50M AFTER MILLERS RD,-37.825588286435924,144.84889362573077
3662,-38.10735028711381,145.16483490030035,FRANKSTON-DANDENONG RD SBTWN HALL RD & BALLARTO RD,-38.10719408898928,145.16449148666203
3682,-37.91862787519275,145.15820430206756,WELLINGTON RD W OF SPRINGVALE RD,-37.91859016200534,145.15873049191518
3685,-37.815756887993054,144.96945422433117,RUSSELL ST N OF FLINDERS LA DEPARTURE,-37.81586822704588,144.96951593404262
3804,-37.82695559083964,147.62687691863405,PYKE ST N OF PRINCES HWY EAST DEPARTURE,-37.82692328227506,147.62686808349173
3812,-37.77938278977685,145.2198916144404,PARK RD 50M AFTER DAINTREE AVE,-37.77956870004558,145.22037714993695
4030,-37.82454530120333,145.1226101805995,STATION ST N OF CANTERBURY RD,-37.824775,145.1225697
4032,-37.82745160296631,145.0647749194862,PROSPECT HILL RD & STANHOPE GROVE & TRAFALGAR RD,-37.82667320000001,145.0649068
4034,-38.07196689834078,145.12190481512008,NEPEAN HWY & STATION ST,-38.07170829999999,145.1217723
4035,-37.76358680098089,144.99217710857246,ST GEORGES RD N OF ARTHURTON RD DEPARTURE TURNS ONLY,-37.76353469999999,144.9922
4040,-37.7771692960479,145.02544042136245,GRANGE RD & WINGROVE ST,-37.77633149999999,145.0267303
4043,-37.78038647834305,144.74342140186778,RIDING BOUNDARY RD 750 M WEST OF DEER PARK BYPASS,-37.78038647834305,144.74342140186778
4051,-37.77410189773537,144.77421067551666,STATION RD N OF RAILWAY PDE DEPARTURE,-37.7739701361814,144.7741295458672
4057,-37.875818579535625,145.04364210537668,PRINCES HWY/WAVERLEY RD,-37.8754053,145.0436891
4063,-37.78407959427389,145.01726802387023,HEIDELBERG RD & STATION ST,-37.784746,145.0171605
4262,-38.137640788537695,145.12816396836882,DANDENONG RD 55M BEFORE EBDALE ST,-38.137989699999984,145.1280194
4263,-38.39477222008903,144.8366700031828,BROWNS RD BTW WEEROONA ST & SPRINGS LA,-38.39477222008903,144.8366700031828
4264,-38.31482057049743,144.3182062857111,SURF COAST HIGHWAY NORTH BD NORTH OF BLACKGATE ROAD,-38.31475926518133,144.318361117964
4266,-37.56119590944154,144.87678563679006,MICKELHAM RD N OF BARDWELL DR,-37.56195050080366,144.87656362160953
4270,-38.67233318806951,143.12518289671894,PRINCETOWN ROAD NORTH BD NORTH OF GALLUM ROAD.,-38.67233318806951,143.12518289671894
4272,-37.96072320946646,145.34450143813993,BELGR AV - HALLAM RD AT MOUNTAIN FLAT RD,-37.96072320946646,145.34450143813993
4273,-38.62542187951517,143.2766124873322,GELLIBRAND RIVER ROAD NORTH BD SOUTH OF CARLISLE RIVER BRIDGE,-38.625158600000006,143.2776278
4321,-35.76447082952266,143.97005180017635,MURRAY VALLEY HWY 202M BEFORE RAILX KERANG (EAGLEHAWK-PIANGIL) 9918,-35.76447082952266,143.97005180017635
4324,-37.83018630959533,144.8384765295377,BLACKSHAWS ROAD BTW GADSDEN ST & KNAPP ST,-37.83019589999999,144.8385929
4335,-37.60019512430573,144.95088351421694,CRAIGIEBURN RD W OF MERRI CREEK,-37.600384399999996,144.953387
4812,-37.681650555488105,144.60090115312917,FEDERATION DR BTW MELTON HWY & GISBORNE-MELON RD,-37.68245157045565,144.60176537370012
4821,-38.104677135817255,147.06816899519978,MACARTHUR ST & PRINCES HWY EAST,-38.10516643931744,147.06813282390524
